id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5WMM12xcKS134ww9lzpNV6,0.724,0.616,4,-5.827,1,0.183,0.042,0.0,0.151,0.433,85.168,240893,4
3TCauNPqFiniaYHBvEVoHG,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05E-6,0.114,0.0992,76.19,238560,4
6CFbjzYbRTvCvGUZm6UYH7,0.549,0.927,8,-2.496,1,0.0621,0.00132,0.0,0.362,0.605,126.434,252613,4
0yDr111P0vlLbUPyCJWgu6,0.474,0.641,5,-4.339,1,0.0373,0.321,0.0,0.149,0.332,139.622,229547,4
0pCNNLJjW3VXiHRgrPONEr,0.413,0.779,5,-3.315,0,0.123,0.39,2.19E-6,0.353,0.271,118.497,285440,5
1w2yeBX2MhfDvZLtaXzWhY,0.481,0.73,6,-2.43,0,0.207,0.0681,3.38E-5,0.441,0.606,175.946,224587,4
59ZTxQo8rBycIXPLUIKvE2,0.64,0.889,2,-3.073,1,0.322,0.107,0.0,0.339,0.436,99.931,298853,4
5YMw0G3cr5t18FuS8HHITZ,0.458,0.862,9,-5.69,1,0.275,0.0168,0.0,0.0811,0.671,69.658,45800,4
42JgHvkBiAc5ivo0gvVRvQ,0.484,0.439,2,-5.995,1,0.0336,0.556,0.0,0.251,0.157,69.945,304013,4
44XFK2U7tW5JdQXjc4rA22,0.357,0.398,4,-5.241,0,0.0305,0.681,5.67E-6,0.33,0.233,126.588,318573,3
1wdZalpkSxp6VJSKihA9Ew,0.477,0.562,2,-4.932,1,0.0663,0.136,4.07E-5,0.322,0.0837,152.889,389747,4
4pITJBPgZ3d0ZUwK3fsfpx,0.702,0.928,6,-4.879,0,0.063,0.00292,0.0,0.838,0.294,127.81,223360,4
3uqYXE3fVQdjcCmDfiSJtt,0.804,0.766,10,-4.189,0,0.062,0.00201,0.00199,0.0622,0.823,104.643,247000,4
6AmQ2J9uUc70HEzBaYe5S5,0.798,0.938,1,-3.917,1,0.0751,0.0826,2.39E-5,0.528,0.775,125.037,235200,4
40jaihpfXCquJzx7zLvM9K,0.455,0.653,3,-7.863,0,0.0422,0.0209,0.00301,0.113,0.496,118.448,245173,4
0rzjTdbbLwJiODCAgthPAY,0.714,0.493,1,-7.26,0,0.0277,0.0436,0.0,0.0739,0.15,119.958,257160,4
70mp1i01VSiCIBIGHSMKAl,0.752,0.771,10,-5.434,0,0.0424,0.108,2.65E-6,0.0786,0.848,98.989,234800,4
5bnvGwpYphNHbqFobzfHmP,0.673,0.441,10,-6.21,1,0.0267,0.116,1.63E-6,0.111,0.141,121.865,291467,4
1xReNJ9IQ1WrHRjvtI4vE4,0.869,0.436,4,-10.384,0,0.0781,0.0957,8.19E-5,0.0944,0.486,99.03,224267,4
1PxE6A8WaTSqcky80Ldcz6,0.791,0.417,6,-9.457,1,0.0424,0.103,0.0038,0.168,0.871,91.501,217507,4
6EX1ipxmWj8Y6ld1y4APAF,0.821,0.778,11,-5.097,1,0.0291,1.03E-4,1.26E-5,0.12,0.953,114.627,245200,4
22PKGoEDh07inQ6os3o82s,0.618,0.874,9,-5.727,0,0.0569,6.99E-4,0.0326,0.158,0.732,130.053,276733,4
6iuivdkFgvSTc8Gq29bsUf,0.662,0.878,2,-5.899,1,0.0442,4.42E-4,0.0,0.0658,0.595,122.777,221387,4
49k6iIn3ceIhyeFNSQChQh,0.662,0.844,1,-4.897,0,0.0728,0.121,2.04E-6,0.539,0.485,99.639,241600,4
4KJ608ARtSOPoFWHNl85ju,0.772,0.604,8,-5.84,1,0.104,0.0942,1.34E-5,0.182,0.573,124.537,253400,4
0iV9yfj1knFNOSEiuTHZwl,0.244,0.274,8,-10.433,1,0.04,0.871,1.18E-5,0.0897,0.164,68.534,243133,4
0zfWzhPQXrFPAWznN1UF1T,0.486,0.694,5,-6.69,0,0.0836,0.489,0.0,0.37,0.381,175.725,248800,4
4QP1nPQDX1nQeYOCo6LDBg,0.325,0.475,11,-6.473,0,0.0596,0.631,0.0,0.313,0.359,200.614,343133,3
7vL54Ke5fNvWGD5BicNSMG,0.242,0.451,1,-7.031,1,0.0458,0.683,0.0,0.196,0.412,202.622,289133,3
6QlgMsuctPLl5qxpwF2PVA,0.658,0.541,8,-6.658,0,0.0484,0.187,5.85E-5,0.138,0.361,62.007,270693,4
32h59T8q2SonUPJ006lyXt,0.575,0.744,1,-5.466,1,0.0603,0.0687,0.0,0.0723,0.701,183.79,241507,4
2BNV1D5X4ioefyOE0uDFOL,0.392,0.3,2,-8.452,1,0.0329,0.884,0.0,0.105,0.147,71.31,264960,4
